NO,D,YR,R1,R2,R3
1,0,78,0.23,0.08,0.02
2,0,77,0.19,0.07,0.09
3,0,72,0.07,0.02,0.03
4,0,80,0.07,0.03,0.04
5,0,81,0.09,0.02,0.03
6,0,70,0.24,0.07,0.14
7,0,76,0.08,0.04,0.02
8,0,77,0.1,0.02,0.02
9,0,73,0.16,0.09,0.07
10,0,71,0.16,0.08,0.06
11,0,78,0.1,0.04,0.07
12,0,75,0.06,0.04,0.03
13,0,81,0.32,0.1,0.14
14,0,78,0.05,0.02,0.03
15,0,70,0.18,0.07,0.12
16,0,74,0.07,0.01,0.02
17,0,72,0.17,0.02,0.08
18,0,72,0.11,0.04,0.07
19,0,73,0.15,0.02,0.06
20,0,75,0.07,0.02,0.04
21,0,73,0.32,0.07,0.11
22,0,74,0.07,0.01,0.03
23,0,82,0.24,0.1,0.07
24,0,73,0.11,0.09,0.03
25,0,70,0.0,0.0,0.0
26,0,70,0.02,0.01,0.01
27,0,70,0.04,0.02,0.02
28,0,70,0.08,0.03,0.03
29,0,70,1.14,0.37,0.28
30,0,70,0.03,0.01,0.02
31,0,70,0.55,0.04,0.07
32,0,70,0.25,0.04,0.04
33,0,70,0.07,0.04,0.05
34,0,70,0.07,0.04,0.03
35,0,71,0.06,0.01,0.03
36,0,71,0.06,0.02,0.02
37,0,71,0.03,0.01,0.02
38,0,72,0.06,0.02,0.03
39,0,72,0.08,0.01,0.02
40,0,73,0.21,0.03,0.06
41,0,73,0.07,0.02,0.03
42,0,73,0.03,0.01,0.02
43,0,73,0.03,0.01,0.01
44,0,73,0.04,0.02,0.01
45,0,73,0.26,0.06,0.14
46,0,73,0.07,0.01,0.03
47,0,74,0.17,0.02,0.06
48,0,74,0.29,0.04,0.1
49,0,74,0.15,1.0,0.06
50,0,74,0.09,0.03,0.04
51,0,75,0.02,0.0,0.01
52,0,75,0.08,0.04,0.05
53,0,75,0.12,0.02,0.04
54,0,75,0.04,0.01,0.02
55,0,75,0.05,0.04,0.03
56,0,75,0.07,0.02,0.04
57,0,75,0.09,0.04,0.05
58,0,75,0.05,0.01,0.02
59,0,76,0.02,0.02,0.02
60,0,76,0.1,0.02,0.02
61,0,76,0.08,0.04,0.02
62,0,77,0.1,0.02,0.02
63,0,77,0.11,0.06,0.05
64,0,78,0.03,0.01,0.01
65,0,78,0.15,0.01,0.07
66,0,78,0.19,0.04,0.12
67,1,78,4.92,0.91,0.31
68,1,77,0.26,0.07,0.12
69,1,72,0.07,0.01,0.02
70,1,80,1.21,0.22,0.25
71,1,81,0.18,0.02,0.02
72,1,70,0.13,0.03,0.04
73,1,76,0.16,0.07,0.04
74,1,77,0.37,0.05,0.07
75,1,73,0.35,0.05,0.11
76,1,71,0.08,0.03,0.03
77,1,78,0.29,0.06,0.09
78,1,75,0.78,0.07,0.19
79,1,81,0.09,0.02,0.04
80,1,78,1.45,0.18,0.24
81,1,70,0.17,0.02,0.03
82,1,74,0.32,0.06,0.05
83,1,72,0.58,0.06,0.12
84,1,72,0.21,0.03,0.06
85,1,73,0.27,0.03,0.05
86,1,75,0.04,0.01,0.01
87,1,73,1.07,0.11,0.26
88,1,74,0.13,0.01,0.08
89,1,82,0.05,0.01,0.01
90,1,73,0.23,0.07,0.05
91,1,70,0.25,0.04,0.07
92,1,70,0.58,0.08,0.13
93,1,70,0.39,0.04,0.07
94,1,70,0.82,0.07,0.21
95,1,70,1.75,0.28,0.64
96,1,70,0.07,0.05,0.01
97,1,70,0.26,0.03,0.07
98,1,70,0.26,0.02,0.05
99,1,70,0.12,0.02,0.04
100,1,70,0.79,0.07,0.05
101,1,71,0.33,0.03,0.09
102,1,71,0.55,0.07,0.1
103,1,71,0.26,0.02,0.04
104,1,72,0.7,0.08,0.11
105,1,72,0.75,0.11,0.15
106,1,73,0.12,0.06,0.05
107,1,73,1.09,0.12,0.33
108,1,73,0.27,0.06,0.08
109,1,73,0.61,0.05,0.14
110,1,73,0.12,0.03,0.02
111,1,73,0.15,0.02,0.03
112,1,73,0.1,0.03,0.05
113,1,74,0.19,0.03,0.09
114,1,74,0.45,0.05,0.15
115,1,74,0.29,0.04,0.09
116,1,74,0.27,0.12,0.16
117,1,75,0.34,0.02,0.11
118,1,75,0.21,0.04,0.05
119,1,75,0.13,0.01,0.05
120,1,75,0.28,0.04,0.08
121,1,75,0.19,0.03,0.04
122,1,75,0.36,0.12,0.14
123,1,75,0.02,0.01,0.01
124,1,75,0.18,0.01,0.07
125,1,76,0.1,0.02,0.08
126,1,76,1.87,0.33,0.24
127,1,76,0.15,0.01,0.03
128,1,77,0.27,0.03,0.07
129,1,77,0.32,0.03,0.03
130,1,78,0.08,0.01,0.02
131,1,78,0.14,0.01,0.05
132,1,78,0.26,0.07,0.12
